VISDATA
23
0 0
1 0
2 14  6 5 4 19 14 13 20 15 17 18 12 8 9 10 
3 0
4 14  10 9 13 12 5 14 8 6 15 2 17 18 19 20 
5 14  4 6 8 9 10 2 13 12 14 15 17 18 19 20 
6 14  5 2 4 8 9 10 13 14 12 15 17 19 18 20 
7 0
8 14  10 12 5 4 9 13 6 14 15 18 17 2 19 20 
9 14  12 4 13 5 8 14 6 10 15 17 18 19 2 20 
10 14  4 8 12 13 14 5 9 15 6 17 18 19 20 2 
11 0
12 14  9 13 14 4 10 8 15 17 18 19 5 20 6 2 
13 14  17 18 15 19 20 12 4 10 9 14 8 5 2 6 
14 14  18 19 20 17 12 15 13 4 10 9 8 2 5 6 
15 14  20 13 19 18 14 12 17 4 10 2 9 5 8 6 
16 0
17 14  13 20 14 19 18 12 15 4 10 2 9 5 8 6 
18 14  14 13 20 15 19 17 12 2 4 10 9 8 5 6 
19 14  14 15 13 17 18 20 12 2 4 10 9 8 5 6 
20 14  15 14 17 13 18 19 2 12 4 10 8 9 5 6 
21 0
22 0
